URL;Chronologie ;Type d'URL;Type d'auteur ;position ;poids ;lu;acteurs ;;;
http://www.usinenouvelle.com/article/la-technologie-doit-faciliter-la-vie-des-consommateurs.N185264;nov-12;article;journaliste;la technologie qui fascine est celle qui fascilite la vie des consommateur et non celle qui fait plaisir ;;O;Adrien Cahuzac;;;
http://www.coupdepouce.com/vie-perso/psychologie/article/oui-la-techno-change-nos-vies;oct-14;article;journaliste;médias sociaux populaires, la technologie change notre comprtement + façonnement de notre façon d'interagir avec les autres. Elle a marqué notre vie amoureuse avec l'invention de plusieurs application de rencontre: meetic par exemple, coté santé , des études révelent qu'elle permet la mémorisation, une aide au travail, et un équilibre dans la société avec la communiation sur les réseux avecs les amis. ;;O;A.Href/ coup de pouce ;;;
http://www.e-marketing.fr/Marketing-Magazine/Article/Homme-et-technologie-Une-necessaire-adaptation-mutuelle-12735-1.htm#WbYYyw5TzMfcuAmy.97;mai-04;article;journaliste;le prmier but de la technologie est de simplifier la vie de l'homme, elle a des vertus magiques qui la pousse à devenir intrusive à cause de son omniprésnence qui poussent à la création du low tech par opposition à l'high tech qui la rend invisble ;;O;Rita Mazzoli;;;
http://www.vos-reponses.com/les-objets-high-tech-quelle-place-vie-quotidienne/;;forum;bloggeur ;dépendance des outils informatiques + élargissement de la dépendance permet donc la perte de l'autonomie  mais permet un gain de temps et d'argent. Certains  produits High tech sont utile tel que les prothèses 3D. ;;O;Viaprestige;;;
http://www.linternaute.com/bricolage/magazine/1224652-objets-connectes-pour-la-maison/;avr-15;article;journaliste;objets connectés censés nous remplacer mais sont risques de piratage d'informations personelles;;O;Hélène David ;;;
http://fr.blastingnews.com/opinions/2015/06/quel-est-l-impact-de-la-technologie-sur-notre-societe-actuelle-00420243.html;juin-15;opinion ;bloggeuse ;apport d'un lot d'avantage et d'élements positifs pour la sociéte: bon moyen pour se divertir et de faire les choses plus rapidement, Mais ce monde virtuel devient une réalité pour les dépendants, la tricherie en classe augment à cause d'internet et des corrections qui existent. elle est aussi conséquence d'inégalité à caue du coût ;;O;Sabribrii;;;
http://www.francesoir.fr/societe-science-tech/nouvelles-technologies-les-francais-positifs-mais-mefiants;mars-16;article;journaliste;effet positif= gain de temps / effet négatif= détérioration des relations humaines le rende dépendant et prend trop de place, la technologie doit protéger les données personnelles et être plus humaine pour evoluer dans le bon sens. ;;O;rédaction de France soir ;;;
http://www.cerveauetpsycho.fr/ewb_pages/a/article-consequences-psychiques-des-nouvelles-technologies-32476.php;janvier-fevrier-2014; article;psychothérapeute;les technologies nous fot perdre notre temps, elle permet un trouble de la mémoire et de l'attention, ;;O;Jean Charles Naaybi;;;
http://carrefour-education.qc.ca/nouvelles/les_nouvelles_technologies_de_communication_nont_pas_que_des_effets_positifs;nov-14;article;bloggeur ;surexposition aux ecrans entraine des problèmes de santé, ;;O;tremblayj;;;
https://www.facebook.com/groups/743579032459475/permalink/815200018630709/;mai 20177;debat;facebook;Fidéliser le client, on est manipulés par des concepts fabriqués de toute pièce, les gens dedient leur vie pour faire des etudes sur les persuasives technologies pour gagner de l'agent;;;;;;
