Acteurs;URL;Arguments;Chronologie
www.letemps.ch;https://www.letemps.ch/opinions/2016/11/20/technologie-persuasive-rend-accros-aux-ecrans;Traite l’addiction que génère les persuasives technologies;nov-16
www.livemint.com;http://www.livemint.com/Opinion/9ler1rRa9J7IngfaQ1C9jK/The-ethics-of-persuasion.html;Caractère éthique des méthodes employées pour les persuasives technologies ;avr-17
www.huffingtonpost.co.uk;http://www.huffingtonpost.co.uk/roobla/the-destructive-consequen_b_16406068.html;"Monétisation ; par exemple grâce aux publicités dédiées. Comment on utilise les persuasives technologies à des fins lucratives ?";mai-17
www.grazia.fr;http://www.grazia.fr/article/qui-est-tristan-harris-le-repenti-de-la-silicon-valley-851137;Focus sur Tristan Harris, « le repenti de la Silicon Valley » (ex salarié de Google). Lutte contre les persuasives technologies en donnant des conseils sur comment ne pas se faire avoir par les géants qui les utilisent.;avr-17
